tip_label	species_name	tip_number	phylum	phylum_group
Piscinibacter_sp._XHJ-5	Piscinibacter sp. XHJ-5	84	Pseudomonadota	Pseudomonadota
Prescottella_equi	Prescottella equi	18	Actinomycetota	Actinomycetota
Prevotella_denticola	Prevotella denticola	34	Bacteroidota	Bacteroidota
Prevotella_histicola	Prevotella histicola	35	Bacteroidota	Bacteroidota
Prevotella_intermedia	Prevotella intermedia	36	Bacteroidota	Bacteroidota
Prevotella_jejuni	Prevotella jejuni	33	Bacteroidota	Bacteroidota
Prevotella_melaninogenica	Prevotella melaninogenica	32	Bacteroidota	Bacteroidota
Prevotella_nigrescens	Prevotella nigrescens	37	Bacteroidota	Bacteroidota
Prevotella_scopos	Prevotella scopos	31	Bacteroidota	Bacteroidota
Prevotella_sp._oral_taxon_299	Prevotella sp. oral taxon 299	39	Bacteroidota	Bacteroidota
Pseudoalteromonas_sp._3J6	Pseudoalteromonas sp. 3J6	2	Pseudomonadota	Pseudomonadota
Pseudolabrys_taiwanensis	Pseudolabrys taiwanensis	70	Pseudomonadota	Pseudomonadota
Rhizobium_oryzihabitans	Rhizobium oryzihabitans	66	Pseudomonadota	Pseudomonadota
Rhizobium_sp._X9	Rhizobium sp. X9	67	Pseudomonadota	Pseudomonadota
Rhodoferax_koreense	Rhodoferax koreense	83	Pseudomonadota	Pseudomonadota
Rothia_dentocariosa	Rothia dentocariosa	10	Actinomycetota	Actinomycetota
Rothia_mucilaginosa	Rothia mucilaginosa	11	Actinomycetota	Actinomycetota
Salmonella_enterica	Salmonella enterica	4	Pseudomonadota	Pseudomonadota
Salmonella_sp.	Salmonella sp.	3	Pseudomonadota	Pseudomonadota
Schaalia_sp._HMT-172	Schaalia sp. HMT-172	15	Actinomycetota	Actinomycetota
Segatella_oris	Segatella oris	38	Bacteroidota	Bacteroidota
Shinella_sumterensis	Shinella sumterensis	69	Pseudomonadota	Pseudomonadota
Solitalea_canadensis	Solitalea canadensis	42	Bacteroidota	Bacteroidota
Sphaerotilus_microaerophilus	Sphaerotilus microaerophilus	85	Pseudomonadota	Pseudomonadota
Sphaerotilus_sulfidivorans	Sphaerotilus sulfidivorans	86	Pseudomonadota	Pseudomonadota
Sphingobium_yanoikuyae	Sphingobium yanoikuyae	48	Pseudomonadota	Pseudomonadota
Thalassobaculum_sp._OXR-137	Thalassobaculum sp. OXR-137	72	Pseudomonadota	Pseudomonadota
Treponema_pallidum	Treponema pallidum	44	Spirochaetota	Spirochaetota
Veillonella_atypica	Veillonella atypica	26	Bacillota	Bacillota
Veillonella_dispar	Veillonella dispar	23	Bacillota	Bacillota
Veillonella_nakazawae	Veillonella nakazawae	24	Bacillota	Bacillota
Veillonella_sp._S12025-13	Veillonella sp. S12025-13	25	Bacillota	Bacillota
Wolbachia_pipientis	Wolbachia pipientis	73	Pseudomonadota	Pseudomonadota
Xylella_fastidiosa	Xylella fastidiosa	9	Pseudomonadota	Pseudomonadota
Yersinia_enterocolitica	Yersinia enterocolitica	7	Pseudomonadota	Pseudomonadota
